Policy,total_iters,slo_attainment_ci1.5,slo_attainment_ci2.0,slo_attainment_ci3.0,slo_attainment_overall,sas_mean_overall,sas_median_overall,sas_min_overall,sas_max_overall,sas_mean_ci1.5,sas_mean_ci2.0,sas_mean_ci3.0
Fair,38209.2000,0.0000,0.0000,0.5000,0.0833,0.5676,0.4090,0.3831,2.1120,0.3871,0.4557,1.3330
SRPT,45754.7000,0.0000,0.5000,1.0000,0.3333,0.7065,0.6009,0.0762,2.1120,0.3035,0.8689,1.5903
CRUX,48251.3000,0.0000,1.0000,1.0000,0.5000,0.7532,1.0093,0.1226,2.1120,0.1989,1.0965,1.7298
LongLiu,45375.8000,0.1500,0.5625,0.5000,0.3458,0.7922,0.6883,0.0671,2.7080,0.4150,1.0336,1.4411
