Policy,total_iters(mean±std),slo_attainment_ci1.5(mean±std),slo_attainment_ci2.0(mean±std),slo_attainment_ci3.0(mean±std),slo_attainment_overall(mean±std),sas_mean_overall(mean±std),sas_median_overall(mean±std),sas_min_overall(mean±std),sas_max_overall(mean±std),sas_mean_ci1.5(mean±std),sas_mean_ci2.0(mean±std),sas_mean_ci3.0(mean±std),jain_index(mean±std),gini_coeff(mean±std),catastrophic_rate(mean±std),p_vs_crux
Fair,43400.8000±9477.8611,0.9667±0.0456,0.4500±0.0685,0.6500±0.1369,0.7417±0.0349,2.3380±0.3273,1.3379±0.1610,0.4920±0.2757,8.1397±1.0879,3.6534±0.6419,1.0553±0.1176,0.9575±0.1011,0.5384±0.0457,0.4350±0.0372,0.0083±0.0186,8.0898e-01
SRPT,44984.2000±9680.9071,0.8333±0.0833,0.7000±0.0685,0.9000±0.1369,0.8000±0.0349,2.3215±0.3573,1.5416±0.2649,0.4016±0.2290,7.9788±0.5180,3.4983±0.7034,1.2171±0.1011,0.9996±0.1130,0.5433±0.0440,0.4299±0.0361,0.0083±0.0186,2.0598e-01
CRUX,45346.8000±9627.5578,0.9000±0.0373,0.7750±0.0559,0.9500±0.1118,0.8667±0.0456,2.3442±0.3513,1.4653±0.3046,0.5187±0.3153,8.0313±0.8430,3.4974±0.6705,1.2852±0.0775,1.0021±0.1143,0.5574±0.0501,0.4148±0.0404,0.0083±0.0186,
LongLiu,44964.8000±9742.2515,0.8833±0.1624,0.7750±0.1854,0.8500±0.2236,0.8417±0.1514,2.3009±0.3659,1.4136±0.2721,0.6817±0.3959,7.9354±0.6801,3.4480±0.7675,1.2311±0.1163,0.9989±0.1125,0.5625±0.0615,0.3952±0.0737,0.0083±0.0186,3.8427e-01
