probe_enabled,n_seeds,seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean,n_frozen_jobs_mean
False,5,"[0, 1, 2, 3, 4]",0.6534,0.0777,0.7746,0.0,10.6
True,5,"[0, 1, 2, 3, 4]",0.48,0.0267,0.6315,0.0,14.4
