Policy,total_iters(mean±std),slo_attainment_ci1.5(mean±std),slo_attainment_ci2.0(mean±std),slo_attainment_ci3.0(mean±std),slo_attainment_overall(mean±std),sas_mean_overall(mean±std),sas_median_overall(mean±std),sas_min_overall(mean±std),sas_max_overall(mean±std),sas_mean_ci1.5(mean±std),sas_mean_ci2.0(mean±std),sas_mean_ci3.0(mean±std),jain_index(mean±std),gini_coeff(mean±std),catastrophic_rate(mean±std),p_vs_crux
Fair,34548.0000±0.0000,0.5000±0.0000,0.1250±0.0000,0.5000±0.0000,0.3750±0.0000,0.8956±0.0000,0.6115±0.0000,0.3336±0.0000,2.6299±0.0000,1.1212±0.0000,0.5663±0.0000,0.8777±0.0000,0.6994±0.0000,0.3400±0.0000,0.0000±0.0000,
SRPT,37947.0000±0.0000,0.3333±0.0000,0.2500±0.0000,0.5000±0.0000,0.3333±0.0000,0.9314±0.0000,0.8528±0.0000,0.2389±0.0000,2.7052±0.0000,1.0170±0.0000,0.7685±0.0000,1.0006±0.0000,0.7131±0.0000,0.3279±0.0000,0.0000±0.0000,
CRUX,38570.0000±0.0000,0.5000±0.0000,0.2500±0.0000,0.5000±0.0000,0.4167±0.0000,0.9894±0.0000,0.9661±0.0000,0.2382±0.0000,2.4492±0.0000,1.0339±0.0000,0.9132±0.0000,1.0086±0.0000,0.7532±0.0000,0.3078±0.0000,0.0000±0.0000,
LongLiu,38043.0000±0.0000,0.7500±0.0000,0.3750±0.0000,0.5000±0.0000,0.5833±0.0000,1.2107±0.0000,1.0526±0.0000,0.4368±0.0000,4.5372±0.0000,1.4999±0.0000,0.8803±0.0000,1.0039±0.0000,0.6806±0.0000,0.2906±0.0000,0.0000±0.0000,
LongLiu_DWRR,34649.0000±0.0000,0.2500±0.0000,0.1250±0.0000,0.5000±0.0000,0.2500±0.0000,0.6966±0.0000,0.8033±0.0000,0.0970±0.0000,1.6770±0.0000,0.7276±0.0000,0.5221±0.0000,0.9527±0.0000,0.6798±0.0000,0.3805±0.0000,0.1667±0.0000,
