iter,epoch,comm_dur_s,bw_gbps,phase
164,8,0.290514,29.5681,contested
165,8,0.275293,31.2029,contested
166,8,0.307945,27.8943,contested
167,8,0.284439,30.1996,contested
168,8,0.305879,28.0828,contested
169,8,0.302072,28.4367,contested
170,8,0.301871,28.4557,contested
171,8,0.299909,28.6418,contested
172,8,0.295308,29.088,contested
173,8,0.304225,28.2355,contested
174,8,0.287283,29.9006,contested
175,8,0.265712,32.328,contested
176,8,0.291667,29.4512,contested
177,8,0.296618,28.9596,contested
178,8,0.300855,28.5517,contested
179,8,0.299502,28.6807,contested
180,9,0.296641,28.9574,contested
181,9,0.298281,28.7981,contested
182,9,0.280679,30.6041,contested
183,9,0.303426,28.3098,contested
184,9,0.299982,28.6349,contested
185,9,0.294658,29.1522,contested
186,9,0.29009,29.6113,contested
187,9,0.271612,31.6258,contested
188,9,0.299159,28.7136,contested
189,9,0.294668,29.1513,contested
190,9,0.312719,27.4686,contested
191,9,0.297019,28.9204,contested
192,9,0.325296,26.4065,contested
193,9,0.277655,30.9374,contested
194,9,0.290043,29.6161,contested
195,9,0.284693,30.1726,contested
196,9,0.291346,29.4836,contested
197,9,0.286295,30.0038,contested
198,9,0.319933,26.8492,contested
199,9,0.276534,31.0629,contested
