Policy,total_iters,slo_attainment_ci1.5,slo_attainment_ci2.0,slo_attainment_ci3.0,slo_attainment_overall,sas_mean_overall,sas_median_overall,sas_min_overall,sas_max_overall,sas_mean_ci1.5,sas_mean_ci2.0,sas_mean_ci3.0
Fair,62149.0000,0.0000,0.0000,0.5000,0.0833,0.3085,0.2297,0.1319,1.0824,0.2177,0.2428,0.7122
SRPT,88524.0000,0.0000,0.0000,0.5000,0.0833,0.3614,0.2400,0.0306,1.0824,0.1216,0.4540,0.8959
CRUX,94673.0000,0.0000,0.0000,0.5000,0.0833,0.3692,0.2652,0.0218,1.0824,0.0700,0.5334,0.9384
LongLiu,47036.0000,0.0000,0.0000,0.5000,0.0833,0.2785,0.2359,0.1040,1.0824,0.2567,0.1507,0.5996
