iteration,start_ns,end_ns,duration_ns
0,252902185948717,252902186194617,245900
1,252902186230529,252902186418849,188320
2,252902186452196,252902186645330,193134
3,252902186677434,252902186868224,190790
4,252902186913765,252902187112892,199127
5,252902237383818,252902237712933,329115
6,252902237760141,252902237969243,209102
7,252902238009746,252902238225147,215401
8,252902238257521,252902238504889,247368
9,252902238548861,252902238791877,243016
10,252902289064966,252902289418707,353741
11,252902289456113,252902289684149,228036
12,252902289724157,252902289928081,203924
13,252902289971595,252902290212901,241306
14,252902290252585,252902290523128,270543
15,252902340790230,252902341161822,371592
16,252902341209866,252902341445672,235806
17,252902341487247,252902341693791,206544
18,252902341726536,252902341947726,221190
19,252902341988025,252902342208136,220111
20,252902392485050,252902392849739,364689
21,252902392895284,252902393128615,233331
22,252902393169074,252902393363356,194282
23,252902393403254,252902393630158,226904
24,252902393674974,252902393891022,216048
25,252902444198112,252902444565423,367311
26,252902444603922,252902444816121,212199
27,252902444848723,252902445055408,206685
28,252902445096307,252902445317697,221390
29,252902445349343,252902445578481,229138
30,252902495864416,252902496293506,429090
31,252902496341456,252902496561798,220342
32,252902496603657,252902496832268,228611
33,252902496876813,252902497075472,198659
34,252902497115269,252902497346172,230903
35,252902547631715,252902547980995,349280
36,252902548044107,252902548305696,261589
37,252902548338801,252902548536893,198092
38,252902548568783,252902548839554,270771
39,252902548870775,252902549085841,215066
40,252902599359290,252902599745335,386045
41,252902599793218,252902600053274,260056
42,252902600086624,252902600339028,252404
43,252902600371142,252902600598939,227797
44,252902600630307,252902600859617,229310
45,252902651125614,252902651477813,352199
46,252902651516938,252902651749066,232128
47,252902651782152,252902651996952,214800
48,252902652059892,252902652266929,207037
49,252902652306111,252902652568577,262466
50,252902702838341,252902703186602,348261
51,252902703224195,252902703456892,232697
52,252902703489617,252902703725805,236188
53,252902703758480,252902703992284,233804
54,252902704072419,252902704298497,226078
55,252902754571787,252902754955325,383538
56,252902754994130,252902755259753,265623
57,252902755292449,252902755504093,211644
58,252902755535572,252902755741304,205732
59,252902755772760,252902756026187,253427
60,252902806301473,252902806672186,370713
61,252902806710306,252902806949495,239189
62,252902806981234,252902807186956,205722
63,252902807218197,252902807433464,215267
64,252902807464580,252902807699173,234593
65,252902857966675,252902858330358,363683
66,252902858369311,252902858597550,228239
67,252902858629705,252902858824314,194609
68,252902858855846,252902859092355,236509
69,252902859123891,252902859353744,229853
70,252902909623922,252902909973258,349336
71,252902910011259,252902910265463,254204
72,252902910298828,252902910492780,193952
73,252902910523835,252902910748319,224484
74,252902910779544,252902911007403,227859
75,252902961277627,252902961645784,368157
76,252902961683929,252902961898238,214309
77,252902961932201,252902962161413,229212
78,252902962193934,252902962437606,243672
79,252902962469187,252902962721817,252630
80,252903012987239,252903013335361,348122
81,252903013373303,252903013585626,212323
82,252903013618171,252903013823892,205721
83,252903013856070,252903014117051,260981
84,252903014148824,252903014358972,210148
85,252903064623809,252903065003373,379564
86,252903065042096,252903065254633,212537
87,252903065304303,252903065510083,205780
88,252903065542016,252903065752185,210169
89,252903065795208,252903066027775,232567
90,252903116294747,252903116669719,374972
91,252903116706800,252903116937159,230359
92,252903116970244,252903117176120,205876
93,252903117210472,252903117429461,218989
94,252903117461335,252903117712229,250894
95,252903167971866,252903168385878,414012
96,252903168424116,252903168651280,227164
97,252903168684182,252903168885202,201020
98,252903168916411,252903169142900,226489
99,252903169174666,252903169418762,244096
