[JobB-LONGLIU-MAIN] Loaded T_target=3905.16ms from /tmp/ttarget_v5_jobB.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29521...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29521, priority=P3
[JobB-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_window=7 (c_i swap), num_iters=300
[JobB-LONGLIU-MAIN] Phase 1 (window 0-6): c_i=3.0
[JobB-LONGLIU-MAIN] Phase 2 (window 7-14): c_i=1.2
[JobB-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=6.2 GB
[JobB-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobB-LONGLIU-MAIN] iter  27 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1473.6ms, bw=2.91 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  28 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1387.7ms, bw=3.09 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  29 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1358.7ms, bw=3.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  30 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1374.9ms, bw=3.12 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  31 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1382.5ms, bw=3.11 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  32 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1374.3ms, bw=3.13 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  33 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1348.9ms, bw=3.18 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  34 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1348.2ms, bw=3.19 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  35 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1396.1ms, bw=3.08 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  36 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1486.4ms, bw=2.89 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  37 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1438.7ms, bw=2.99 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  38 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1376.4ms, bw=3.12 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  39 (window 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=1408.0ms, bw=3.05 Gbps [phase1]
[SLO] comm baseline initialized: 27962.7ms/window (window 2)
[JobB-LONGLIU-MAIN] iter  40 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1290.8ms, bw=3.33 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  41 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1408.1ms, bw=3.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  42 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1447.8ms, bw=2.97 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  43 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1383.5ms, bw=3.10 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  44 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1404.5ms, bw=3.06 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  45 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1408.7ms, bw=3.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  46 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1344.3ms, bw=3.20 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  47 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1374.9ms, bw=3.12 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  48 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1413.9ms, bw=3.04 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  49 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1430.0ms, bw=3.00 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  50 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1447.2ms, bw=2.97 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  51 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1430.2ms, bw=3.00 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  52 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1413.2ms, bw=3.04 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  53 (window 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=1405.4ms, bw=3.06 Gbps [phase1]
