[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[JobA-CALIB] epoch 4 iter 0: comm=212.4ms
[JobA-CALIB] epoch 4 iter 1: comm=205.8ms
[JobA-CALIB] epoch 4 iter 2: comm=201.5ms
[JobA-CALIB] epoch 4 iter 3: comm=222.0ms
[JobA-CALIB] epoch 4 iter 4: comm=235.6ms
[JobA-CALIB] epoch 4 iter 5: comm=202.5ms
[JobA-CALIB] epoch 4 iter 6: comm=225.3ms
[JobA-CALIB] epoch 4 iter 7: comm=241.4ms
[JobA-CALIB] epoch 4 iter 8: comm=210.9ms
[JobA-CALIB] epoch 4 iter 9: comm=216.0ms
[JobA-CALIB] epoch 4 iter 10: comm=201.7ms
[JobA-CALIB] epoch 4 iter 11: comm=239.6ms
[JobA-CALIB] epoch 4 iter 12: comm=212.9ms
[JobA-CALIB] epoch 4 iter 13: comm=204.7ms
[JobA-CALIB] epoch 4 iter 14: comm=216.0ms
[JobA-CALIB] epoch 4 iter 15: comm=210.5ms
[JobA-CALIB] epoch 4 iter 16: comm=248.3ms
[JobA-CALIB] epoch 4 iter 17: comm=205.4ms
[JobA-CALIB] epoch 4 iter 18: comm=202.5ms
[JobA-CALIB] epoch 4 iter 19: comm=214.0ms
[SLO] T_target EMA update (warmup): 4201.1ms (delta=+55.7ms, epoch=5)
[JobA-CALIB] T_target=4201.09ms written to /tmp/ttarget_v5_jobA.json
[MultiComm] Rank 0: destroyed
