iter,epoch,comm_dur_s,bw_gbps,phase
140,7,0.530992,16.1771,contested
141,7,0.539417,15.9245,contested
142,7,0.454383,18.9046,contested
143,7,0.462323,18.58,contested
144,7,0.513607,16.7247,contested
145,7,0.519832,16.5244,contested
146,7,0.527146,16.2952,contested
147,7,0.539629,15.9182,contested
148,7,0.535624,16.0373,contested
149,7,0.54147,15.8641,contested
150,7,0.544188,15.7849,contested
151,7,0.522535,16.439,contested
152,7,0.545676,15.7418,contested
153,7,0.535648,16.0365,contested
154,7,0.53646,16.0123,contested
155,7,0.535374,16.0447,contested
156,7,0.532441,16.1331,contested
157,7,0.527414,16.2869,contested
158,7,0.518868,16.5551,contested
159,7,0.406914,21.11,contested
160,8,0.537378,15.9849,contested
161,8,0.51983,16.5245,contested
162,8,0.528202,16.2626,contested
163,8,0.509752,16.8512,contested
164,8,0.538504,15.9515,contested
165,8,0.531303,16.1677,contested
166,8,0.528869,16.2421,contested
167,8,0.521997,16.4559,contested
168,8,0.561284,15.3041,contested
169,8,0.522284,16.4469,contested
170,8,0.526698,16.309,contested
171,8,0.524346,16.3822,contested
172,8,0.527942,16.2706,contested
173,8,0.531386,16.1652,contested
174,8,0.501647,17.1235,contested
175,8,0.419553,20.474,contested
176,8,0.39182,21.9232,contested
177,8,0.527094,16.2968,contested
178,8,0.536722,16.0045,contested
179,8,0.527558,16.2824,contested
180,9,0.54168,15.8579,contested
181,9,0.552872,15.5369,contested
182,9,0.518551,16.5653,contested
183,9,0.527621,16.2805,contested
184,9,0.520945,16.4891,contested
185,9,0.536979,15.9968,contested
186,9,0.537287,15.9876,contested
187,9,0.528347,16.2581,contested
188,9,0.536244,16.0187,contested
189,9,0.535438,16.0428,contested
190,9,0.515326,16.6689,contested
191,9,0.532536,16.1302,contested
192,9,0.475349,18.0708,contested
193,9,0.536937,15.998,contested
194,9,0.522338,16.4452,contested
195,9,0.527584,16.2816,contested
196,9,0.526143,16.3262,contested
197,9,0.514878,16.6834,contested
198,9,0.52857,16.2513,contested
199,9,0.523014,16.4239,contested
200,10,0.541683,15.8579,contested
201,10,0.52611,16.3272,contested
202,10,0.519582,16.5324,contested
203,10,0.526741,16.3077,contested
204,10,0.538845,15.9414,contested
205,10,0.534481,16.0715,contested
206,10,0.526524,16.3144,contested
207,10,0.509337,16.8649,contested
208,10,0.531402,16.1647,contested
209,10,0.401947,21.3708,contested
210,10,0.530888,16.1803,contested
211,10,0.523111,16.4209,contested
212,10,0.53103,16.176,contested
213,10,0.539491,15.9223,contested
214,10,0.532266,16.1384,contested
215,10,0.548294,15.6667,contested
216,10,0.526467,16.3162,contested
217,10,0.540684,15.8872,contested
218,10,0.544206,15.7843,contested
219,10,0.524015,16.3925,contested
220,11,0.531269,16.1687,contested
221,11,0.528179,16.2633,contested
222,11,0.527882,16.2724,contested
223,11,0.523995,16.3932,contested
224,11,0.527187,16.2939,contested
225,11,0.440456,19.5024,contested
226,11,0.522807,16.4304,contested
227,11,0.519157,16.5459,contested
228,11,0.522891,16.4278,contested
229,11,0.523104,16.4211,contested
230,11,0.528583,16.2509,contested
231,11,0.522372,16.4441,contested
232,11,0.511938,16.7792,contested
233,11,0.553106,15.5303,contested
234,11,0.529136,16.2339,contested
235,11,0.541375,15.8669,contested
236,11,0.526797,16.306,contested
237,11,0.544382,15.7792,contested
238,11,0.520036,16.518,contested
239,11,0.527938,16.2707,contested
240,12,0.527319,16.2898,contested
241,12,0.518566,16.5648,contested
242,12,0.520883,16.4911,contested
243,12,0.539615,15.9186,contested
244,12,0.526477,16.3159,contested
245,12,0.543904,15.7931,contested
246,12,0.531267,16.1688,contested
247,12,0.522383,16.4437,contested
248,12,0.532577,16.129,contested
249,12,0.523416,16.4113,contested
250,12,0.532511,16.131,contested
251,12,0.529574,16.2204,contested
252,12,0.544093,15.7876,contested
253,12,0.518807,16.5571,contested
254,12,0.523067,16.4222,contested
255,12,0.527329,16.2895,contested
256,12,0.526764,16.307,contested
257,12,0.540402,15.8954,contested
258,12,0.522993,16.4246,contested
259,12,0.539818,15.9126,contested
260,13,0.524044,16.3916,contested
261,13,0.536502,16.011,contested
262,13,0.522277,16.4471,contested
263,13,0.531839,16.1514,contested
264,13,0.519242,16.5432,contested
265,13,0.535661,16.0361,contested
266,13,0.537007,15.9959,contested
267,13,0.528141,16.2645,contested
268,13,0.54837,15.6645,contested
269,13,0.522633,16.4359,contested
270,13,0.53721,15.9899,contested
271,13,0.552862,15.5372,contested
272,13,0.536203,16.0199,contested
273,13,0.522361,16.4445,contested
274,13,0.522424,16.4425,contested
275,13,0.540937,15.8797,contested
276,13,0.535936,16.0279,contested
277,13,0.513609,16.7247,contested
278,13,0.536766,16.0031,contested
279,13,0.530968,16.1779,contested
280,14,0.531866,16.1506,contested
281,14,0.536318,16.0165,contested
282,14,0.522064,16.4538,contested
283,14,0.522391,16.4435,contested
284,14,0.543701,15.799,contested
285,14,0.532432,16.1334,contested
286,14,0.532196,16.1405,contested
287,14,0.52234,16.4451,contested
288,14,0.530683,16.1866,contested
289,14,0.513633,16.7239,contested
290,14,0.532805,16.1221,contested
291,14,0.526823,16.3052,contested
292,14,0.505202,17.003,contested
293,14,0.535118,16.0524,contested
294,14,0.539555,15.9204,contested
295,14,0.529279,16.2295,contested
296,14,0.532628,16.1275,contested
297,14,0.528278,16.2602,contested
298,14,0.520626,16.4992,contested
299,14,0.523815,16.3988,contested
