iter,epoch,comm_dur_s,bw_gbps,phase
140,7,0.380618,22.5684,contested
141,7,0.39154,21.9388,contested
142,7,0.376542,22.8127,contested
143,7,0.385051,22.3086,contested
144,7,0.375973,22.8472,contested
145,7,0.378763,22.6789,contested
146,7,0.397409,21.6149,contested
147,7,0.388781,22.0945,contested
148,7,0.349748,24.5604,contested
149,7,0.465145,18.4672,contested
150,7,0.560995,15.312,contested
151,7,0.595609,14.4221,contested
152,7,0.552567,15.5455,contested
153,7,0.618746,13.8828,contested
154,7,0.569598,15.0807,contested
155,7,0.612815,14.0172,contested
156,7,0.540062,15.9055,contested
157,7,0.562697,15.2656,contested
158,7,0.561525,15.2975,contested
159,7,0.60417,14.2177,contested
160,8,0.880248,9.7585,contested
161,8,0.610775,14.064,contested
162,8,0.595972,14.4133,contested
163,8,0.569546,15.0821,contested
164,8,0.600165,14.3126,contested
165,8,0.605208,14.1934,contested
166,8,0.621259,13.8266,contested
167,8,0.673618,12.7519,contested
168,8,0.45137,19.0308,contested
169,8,0.470169,18.2699,contested
170,8,0.458743,18.725,contested
171,8,0.444544,19.323,contested
172,8,0.445011,19.3027,contested
173,8,0.423911,20.2635,contested
174,8,0.465338,18.4596,contested
175,8,0.478827,17.9395,contested
176,8,0.471012,18.2372,contested
177,8,0.461371,18.6183,contested
178,8,0.439555,19.5423,contested
179,8,0.446291,19.2474,contested
180,9,0.445322,19.2893,contested
181,9,0.465628,18.4481,contested
182,9,0.475885,18.0504,contested
183,9,0.50007,17.1775,contested
184,9,0.462647,18.5669,contested
185,9,0.483623,17.7616,contested
186,9,0.450004,19.0886,contested
187,9,0.478791,17.9409,contested
188,9,0.487756,17.6111,contested
189,9,0.435922,19.7052,contested
190,9,0.448332,19.1598,contested
191,9,0.453514,18.9408,contested
192,9,0.465961,18.4349,contested
193,9,0.453753,18.9309,contested
194,9,0.455557,18.8559,contested
195,9,0.461987,18.5934,contested
196,9,0.47452,18.1024,contested
197,9,0.470133,18.2713,contested
198,9,0.452947,18.9645,contested
199,9,0.48457,17.7269,contested
200,10,0.371101,23.1472,contested
201,10,0.370359,23.1935,contested
202,10,0.344626,24.9254,contested
203,10,0.365792,23.4831,contested
204,10,0.344961,24.9012,contested
205,10,0.341352,25.1644,contested
206,10,0.33143,25.9178,contested
207,10,0.471538,18.2169,contested
208,10,0.548883,15.6499,contested
209,10,0.531371,16.1656,contested
210,10,0.635736,13.5118,contested
211,10,0.558767,15.373,contested
212,10,0.575477,14.9266,contested
213,10,0.543816,15.7957,contested
214,10,0.591375,14.5254,contested
215,10,0.584347,14.7001,contested
216,10,0.556629,15.4321,contested
217,10,0.510798,16.8167,contested
218,10,0.522686,16.4342,contested
219,10,0.606684,14.1588,contested
220,11,0.634746,13.5329,contested
221,11,0.588458,14.5974,contested
222,11,0.558141,15.3903,contested
223,11,0.536786,16.0025,contested
224,11,0.576027,14.9124,contested
225,11,0.595917,14.4147,contested
226,11,0.567803,15.1284,contested
227,11,0.402102,21.3626,contested
228,11,0.36304,23.6611,contested
229,11,0.354533,24.2289,contested
230,11,0.357694,24.0148,contested
231,11,0.3574,24.0345,contested
232,11,0.37469,22.9254,contested
233,11,0.36214,23.7199,contested
234,11,0.362883,23.6713,contested
235,11,0.353103,24.327,contested
236,11,0.353457,24.3026,contested
237,11,0.362333,23.7073,contested
238,11,0.37034,23.1947,contested
239,11,0.366138,23.4609,contested
240,12,0.360081,23.8556,contested
241,12,0.353462,24.3023,contested
242,12,0.34516,24.8868,contested
243,12,0.34742,24.7249,contested
