[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29510...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=8)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=48)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=48)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29510, priority=P3
[Job1-CRUX] MODE=crux, Payload=2048MB, sleep=30000us, SLO c_i=1.2
[Job1-CRUX] Static Priority: P3 (DSCP=24)
[Job1-CRUX] GPU Intensity I_1 = 30ms / ~85ms ≈ 0.35
[Job1-CRUX] NOTE: Both jobs use P4 (same priority) for MultiComm compatibility
[Job1-CRUX] CRUX cannot dynamically prioritize Job1's strict SLO!
[Job1-CRUX] 300 iters, 20/epoch, 15 epochs
[Job1-CRUX] iter 43 (epoch 2, iter 3): comm=423.3ms, bw=20.29 Gbps [solo_rampup]
[Job1-CRUX] iter 44 (epoch 2, iter 4): comm=418.1ms, bw=20.55 Gbps [solo_rampup]
[Job1-CRUX] iter 45 (epoch 2, iter 5): comm=422.9ms, bw=20.31 Gbps [solo_rampup]
[Job1-CRUX] iter 46 (epoch 2, iter 6): comm=418.4ms, bw=20.53 Gbps [solo_rampup]
[Job1-CRUX] iter 47 (epoch 2, iter 7): comm=426.8ms, bw=20.13 Gbps [solo_rampup]
[Job1-CRUX] iter 48 (epoch 2, iter 8): comm=420.1ms, bw=20.45 Gbps [solo_rampup]
[Job1-CRUX] iter 49 (epoch 2, iter 9): comm=428.1ms, bw=20.07 Gbps [solo_rampup]
[Job1-CRUX] iter 50 (epoch 2, iter 10): comm=435.0ms, bw=19.75 Gbps [solo_rampup]
[Job1-CRUX] iter 51 (epoch 2, iter 11): comm=427.9ms, bw=20.07 Gbps [solo_rampup]
[Job1-CRUX] iter 52 (epoch 2, iter 12): comm=422.8ms, bw=20.32 Gbps [solo_rampup]
[Job1-CRUX] iter 53 (epoch 2, iter 13): comm=423.7ms, bw=20.27 Gbps [solo_rampup]
[Job1-CRUX] iter 54 (epoch 2, iter 14): comm=439.8ms, bw=19.53 Gbps [solo_rampup]
[Job1-CRUX] iter 55 (epoch 2, iter 15): comm=453.7ms, bw=18.93 Gbps [solo_rampup]
[Job1-CRUX] iter 56 (epoch 2, iter 16): comm=432.1ms, bw=19.88 Gbps [solo_rampup]
[Job1-CRUX] iter 57 (epoch 2, iter 17): comm=410.2ms, bw=20.94 Gbps [solo_rampup]
[Job1-CRUX] iter 58 (epoch 2, iter 18): comm=427.2ms, bw=20.11 Gbps [solo_rampup]
[Job1-CRUX] iter 59 (epoch 2, iter 19): comm=437.5ms, bw=19.64 Gbps [solo_rampup]
[Job1-CRUX] iter 60 (epoch 3, iter 0): comm=439.8ms, bw=19.53 Gbps [solo_rampup]
[Job1-CRUX] iter 61 (epoch 3, iter 1): comm=406.7ms, bw=21.12 Gbps [solo_rampup]
[Job1-CRUX] iter 62 (epoch 3, iter 2): comm=427.4ms, bw=20.10 Gbps [solo_rampup]
[Job1-CRUX] iter 63 (epoch 3, iter 3): comm=440.3ms, bw=19.51 Gbps [solo_rampup]
[Job1-CRUX] iter 64 (epoch 3, iter 4): comm=419.2ms, bw=20.49 Gbps [solo_rampup]
[Job1-CRUX] iter 65 (epoch 3, iter 5): comm=436.7ms, bw=19.67 Gbps [solo_rampup]
[Job1-CRUX] iter 66 (epoch 3, iter 6): comm=432.2ms, bw=19.87 Gbps [solo_rampup]
[Job1-CRUX] iter 67 (epoch 3, iter 7): comm=444.1ms, bw=19.34 Gbps [solo_rampup]
[Job1-CRUX] iter 68 (epoch 3, iter 8): comm=431.8ms, bw=19.89 Gbps [solo_rampup]
[Job1-CRUX] iter 69 (epoch 3, iter 9): comm=426.8ms, bw=20.13 Gbps [solo_rampup]
[Job1-CRUX] iter 70 (epoch 3, iter 10): comm=431.7ms, bw=19.90 Gbps [solo_rampup]
[Job1-CRUX] iter 71 (epoch 3, iter 11): comm=426.9ms, bw=20.12 Gbps [solo_rampup]
[Job1-CRUX] iter 72 (epoch 3, iter 12): comm=418.4ms, bw=20.53 Gbps [solo_rampup]
[Job1-CRUX] iter 73 (epoch 3, iter 13): comm=431.2ms, bw=19.92 Gbps [solo_rampup]
[Job1-CRUX] iter 74 (epoch 3, iter 14): comm=431.6ms, bw=19.90 Gbps [solo_rampup]
[Job1-CRUX] iter 75 (epoch 3, iter 15): comm=449.9ms, bw=19.09 Gbps [solo_rampup]
[Job1-CRUX] iter 76 (epoch 3, iter 16): comm=421.2ms, bw=20.39 Gbps [solo_rampup]
[Job1-CRUX] iter 77 (epoch 3, iter 17): comm=422.4ms, bw=20.33 Gbps [solo_rampup]
[Job1-CRUX] iter 78 (epoch 3, iter 18): comm=424.0ms, bw=20.26 Gbps [solo_rampup]
[Job1-CRUX] iter 79 (epoch 3, iter 19): comm=416.1ms, bw=20.65 Gbps [solo_rampup]
[Job1-CRUX] iter 80 (epoch 4, iter 0): comm=418.3ms, bw=20.54 Gbps [solo_rampup]
[Job1-CRUX] iter 81 (epoch 4, iter 1): comm=426.9ms, bw=20.12 Gbps [solo_rampup]
[Job1-CRUX] iter 82 (epoch 4, iter 2): comm=431.8ms, bw=19.89 Gbps [solo_rampup]
[Job1-CRUX] iter 83 (epoch 4, iter 3): comm=427.1ms, bw=20.11 Gbps [solo_rampup]
[Job1-CRUX] iter 84 (epoch 4, iter 4): comm=440.4ms, bw=19.50 Gbps [solo_rampup]
[Job1-CRUX] iter 85 (epoch 4, iter 5): comm=439.8ms, bw=19.53 Gbps [solo_rampup]
[Job1-CRUX] iter 86 (epoch 4, iter 6): comm=441.9ms, bw=19.44 Gbps [solo_rampup]
[Job1-CRUX] iter 87 (epoch 4, iter 7): comm=435.1ms, bw=19.74 Gbps [solo_rampup]
[Job1-CRUX] iter 88 (epoch 4, iter 8): comm=441.2ms, bw=19.47 Gbps [solo_rampup]
[Job1-CRUX] iter 89 (epoch 4, iter 9): comm=427.2ms, bw=20.11 Gbps [solo_rampup]
[Job1-CRUX] iter 90 (epoch 4, iter 10): comm=418.7ms, bw=20.51 Gbps [solo_rampup]
[Job1-CRUX] iter 91 (epoch 4, iter 11): comm=429.9ms, bw=19.98 Gbps [solo_rampup]
[Job1-CRUX] iter 92 (epoch 4, iter 12): comm=450.1ms, bw=19.08 Gbps [solo_rampup]
[Job1-CRUX] iter 93 (epoch 4, iter 13): comm=427.7ms, bw=20.08 Gbps [solo_rampup]
[Job1-CRUX] iter 94 (epoch 4, iter 14): comm=437.0ms, bw=19.66 Gbps [solo_rampup]
