[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[JobB-CALIB] epoch 4 iter 0: comm=250.8ms
[JobB-CALIB] epoch 4 iter 1: comm=189.3ms
[JobB-CALIB] epoch 4 iter 2: comm=211.1ms
[JobB-CALIB] epoch 4 iter 3: comm=186.6ms
[JobB-CALIB] epoch 4 iter 4: comm=181.8ms
[JobB-CALIB] epoch 4 iter 5: comm=189.9ms
[JobB-CALIB] epoch 4 iter 6: comm=206.8ms
[JobB-CALIB] epoch 4 iter 7: comm=180.9ms
[JobB-CALIB] epoch 4 iter 8: comm=183.4ms
[JobB-CALIB] epoch 4 iter 9: comm=196.8ms
[JobB-CALIB] epoch 4 iter 10: comm=196.0ms
[JobB-CALIB] epoch 4 iter 11: comm=194.5ms
[JobB-CALIB] epoch 4 iter 12: comm=201.5ms
[JobB-CALIB] epoch 4 iter 13: comm=240.3ms
[JobB-CALIB] epoch 4 iter 14: comm=176.8ms
[JobB-CALIB] epoch 4 iter 15: comm=177.6ms
[JobB-CALIB] epoch 4 iter 16: comm=176.6ms
[JobB-CALIB] epoch 4 iter 17: comm=195.3ms
[JobB-CALIB] epoch 4 iter 18: comm=199.1ms
[JobB-CALIB] epoch 4 iter 19: comm=162.5ms
[SLO] T_target EMA update (warmup): 3905.2ms (delta=-2.5ms, epoch=5)
[JobB-CALIB] T_target=3905.16ms written to /tmp/ttarget_v5_jobB.json
[MultiComm] Rank 0: destroyed
