iter,epoch,comm_dur_s,bw_gbps,phase
140,7,0.862705,19.914,contested
141,7,0.84673,20.2897,contested
142,7,0.85041,20.2019,contested
143,7,0.84288,20.3823,contested
144,7,0.859411,19.9903,contested
145,7,0.856798,20.0512,contested
146,7,0.916593,18.7432,contested
147,7,0.853806,20.1215,contested
148,7,0.868191,19.7881,contested
149,7,0.867329,19.8078,contested
150,7,0.85889,20.0024,contested
151,7,0.870501,19.7356,contested
152,7,0.857716,20.0298,contested
153,7,0.855191,20.0889,contested
154,7,0.854821,20.0976,contested
155,7,0.851827,20.1683,contested
156,7,0.865041,19.8602,contested
157,7,0.86811,19.79,contested
158,7,0.856213,20.0649,contested
159,7,0.860661,19.9612,contested
160,8,0.858248,20.0174,contested
161,8,0.845884,20.31,contested
162,8,0.847152,20.2796,contested
163,8,0.8636,19.8933,contested
164,8,0.852437,20.1538,contested
165,8,0.860699,19.9604,contested
166,8,0.850839,20.1917,contested
167,8,0.869434,19.7598,contested
168,8,0.850453,20.2008,contested
169,8,0.849921,20.2135,contested
170,8,0.872509,19.6902,contested
171,8,0.884452,19.4243,contested
172,8,0.861987,19.9305,contested
173,8,0.848558,20.2459,contested
174,8,0.852959,20.1415,contested
175,8,0.854239,20.1113,contested
176,8,0.871624,19.7102,contested
177,8,0.8636,19.8933,contested
178,8,0.854269,20.1106,contested
179,8,0.847886,20.262,contested
180,9,0.858153,20.0196,contested
181,9,0.840289,20.4452,contested
182,9,0.854503,20.1051,contested
183,9,0.872256,19.6959,contested
184,9,0.871967,19.7024,contested
185,9,0.83954,20.4634,contested
186,9,0.875391,19.6254,contested
187,9,0.849199,20.2307,contested
188,9,0.853963,20.1178,contested
189,9,0.864056,19.8828,contested
190,9,0.863944,19.8854,contested
191,9,0.847592,20.269,contested
192,9,0.854277,20.1104,contested
193,9,0.857822,20.0273,contested
194,9,0.857042,20.0455,contested
195,9,0.868175,19.7885,contested
196,9,0.861458,19.9428,contested
197,9,0.864106,19.8817,contested
198,9,0.856379,20.0611,contested
199,9,0.855308,20.0862,contested
200,10,0.853742,20.123,contested
201,10,0.850269,20.2052,contested
202,10,0.848492,20.2475,contested
203,10,0.851609,20.1734,contested
204,10,0.868373,19.784,contested
205,10,0.853404,20.131,contested
206,10,0.863744,19.89,contested
207,10,0.841861,20.407,contested
208,10,0.852072,20.1625,contested
209,10,0.909843,18.8822,contested
