iter,epoch,comm_dur_s,bw_gbps,phase
164,8,0.321682,26.7031,contested
165,8,0.317361,27.0668,contested
166,8,0.31765,27.0421,contested
167,8,0.32421,26.495,contested
168,8,0.318005,27.012,contested
169,8,0.324011,26.5113,contested
170,8,0.321812,26.6924,contested
171,8,0.612995,14.0131,contested
172,8,0.315323,27.2417,contested
173,8,0.322371,26.6461,contested
174,8,0.32203,26.6743,contested
175,8,0.322562,26.6303,contested
176,8,0.318064,27.0069,contested
177,8,0.317571,27.0489,contested
178,8,0.319952,26.8476,contested
179,8,0.311376,27.587,contested
180,9,0.318032,27.0097,contested
181,9,0.32065,26.7891,contested
182,9,0.315839,27.1972,contested
183,9,0.309402,27.763,contested
184,9,0.317595,27.0468,contested
185,9,0.318601,26.9614,contested
186,9,0.318488,26.971,contested
187,9,0.322308,26.6514,contested
188,9,0.310532,27.662,contested
189,9,0.324513,26.4702,contested
190,9,0.323109,26.5853,contested
191,9,0.315424,27.233,contested
192,9,0.321962,26.6799,contested
193,9,0.318668,26.9558,contested
194,9,0.313043,27.4401,contested
195,9,0.290054,29.6149,contested
196,9,0.291474,29.4706,contested
197,9,0.766775,11.2027,contested
198,9,0.323564,26.5479,contested
199,9,0.31504,27.2662,contested
