epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.26385,16.5538,0.047495,4,0,1.0468,4201.087
1,phase1,1024,1.2,30000,0.206389,21.6899,-0.066518,4,0,0.8188,4201.087
2,phase1,1024,1.2,30000,0.265801,16.5979,-0.024086,4,0,1.0545,4201.087
3,phase1,1024,1.2,30000,0.288049,15.1683,0.019695,4,0,1.1428,4201.087
4,phase1,1024,1.2,30000,0.271673,15.9773,0.033049,4,0,1.0778,4201.087
5,phase1,1024,1.2,30000,0.275671,15.6664,0.044601,4,0,1.0936,4201.087
6,phase1,1024,1.2,30000,0.263872,16.4536,0.046138,4,0,1.0468,4201.087
7,phase2,1024,3.0,30000,0.265191,16.4189,-0.580812,1,32,0.4208,4201.087
8,phase2,1024,3.0,30000,0.381332,11.3855,-0.55977,1,32,0.6051,4201.087
9,phase2,1024,3.0,30000,0.370284,11.6534,-0.544685,1,32,0.5876,4201.087
10,phase2,1024,3.0,30000,0.404595,10.6788,-0.527405,1,32,0.642,4201.087
11,phase2,1024,3.0,30000,0.404516,10.7832,-0.513017,1,32,0.6419,4201.087
12,phase2,1024,3.0,30000,0.412675,10.4257,-0.499833,2,24,0.6549,4201.087
13,phase2,1024,3.0,30000,0.435388,9.9493,-0.485959,2,24,0.6909,4201.087
14,phase2,1024,3.0,30000,0.360266,13.747,-0.481936,2,24,0.5717,4201.087
