Policy,total_iters,slo_attainment_ci1.5,slo_attainment_ci2.0,slo_attainment_ci3.0,slo_attainment_overall,sas_mean_overall,sas_median_overall,sas_min_overall,sas_max_overall,sas_mean_ci1.5,sas_mean_ci2.0,sas_mean_ci3.0
Fair,19334.5000,0.2750,0.0750,0.5000,0.2458,0.7718,0.5755,0.1534,2.7431,0.8698,0.5774,0.8670
SRPT,21445.7000,0.2500,0.2250,0.5000,0.2833,0.8264,0.7705,0.0656,2.8812,0.8063,0.7837,0.9722
CRUX,21529.9000,0.2583,0.2250,0.5000,0.2875,0.8083,0.7555,0.1291,2.6126,0.7465,0.8276,0.9550
LongLiu,17581.3000,0.4167,0.1250,0.5000,0.3333,0.9151,0.8455,0.0589,3.2471,1.1515,0.5666,0.9032
