iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
115,5,2048,30000,0.517817,16.5887,phase1
116,5,2048,30000,0.519713,16.5282,phase1
117,5,2048,30000,0.544035,15.7893,phase1
118,5,2048,30000,0.513649,16.7233,phase1
119,5,2048,30000,0.506462,16.9607,phase1
120,6,2048,30000,0.522888,16.4279,phase1
121,6,2048,30000,0.514493,16.6959,phase1
122,6,2048,30000,0.531154,16.1722,phase1
123,6,2048,30000,0.549607,15.6292,phase1
124,6,2048,30000,0.510285,16.8336,phase1
125,6,2048,30000,0.504795,17.0167,phase1
126,6,2048,30000,0.528715,16.2468,phase1
127,6,2048,30000,0.531893,16.1498,phase1
128,6,2048,30000,0.527261,16.2916,phase1
129,6,2048,30000,0.51087,16.8143,phase1
130,6,2048,30000,0.523225,16.4173,phase1
131,6,2048,30000,0.515446,16.665,phase1
132,6,2048,30000,0.53701,15.9958,phase1
133,6,2048,30000,0.515337,16.6686,phase1
134,6,2048,30000,0.526035,16.3296,phase1
135,6,2048,30000,0.513714,16.7212,phase1
136,6,2048,30000,0.530938,16.1788,phase1
137,6,2048,30000,0.522761,16.4318,phase1
138,6,2048,30000,0.528975,16.2388,phase1
139,6,2048,30000,0.530076,16.2051,phase1
140,7,256,30000,0.063197,16.9905,phase2
141,7,256,30000,0.071756,14.9638,phase2
142,7,256,30000,0.067802,15.8365,phase2
143,7,256,30000,0.06366,16.8668,phase2
144,7,256,30000,0.071782,14.9584,phase2
145,7,256,30000,0.063121,17.0107,phase2
146,7,256,30000,0.071635,14.9891,phase2
147,7,256,30000,0.056625,18.9623,phase2
148,7,256,30000,0.062836,17.0879,phase2
149,7,256,30000,0.067493,15.9089,phase2
150,7,256,30000,0.067754,15.8476,phase2
151,7,256,30000,0.062996,17.0446,phase2
152,7,256,30000,0.071892,14.9355,phase2
153,7,256,30000,0.06742,15.9262,phase2
154,7,256,30000,0.0598,17.9557,phase2
155,7,256,30000,0.063114,17.0128,phase2
156,7,256,30000,0.068247,15.7332,phase2
157,7,256,30000,0.062957,17.0552,phase2
158,7,256,30000,0.067783,15.8408,phase2
159,7,256,30000,0.063168,16.9981,phase2
160,8,256,30000,0.063977,16.7831,phase2
161,8,256,30000,0.064447,16.6608,phase2
162,8,256,30000,0.071828,14.9487,phase2
163,8,256,30000,0.067422,15.9256,phase2
164,8,256,30000,0.067443,15.9207,phase2
165,8,256,30000,0.063693,16.858,phase2
166,8,256,30000,0.063103,17.0158,phase2
167,8,256,30000,0.064545,16.6356,phase2
168,8,256,30000,0.072298,14.8517,phase2
169,8,256,30000,0.060908,17.6288,phase2
170,8,256,30000,0.068044,15.7801,phase2
171,8,256,30000,0.067802,15.8364,phase2
172,8,256,30000,0.073378,14.6329,phase2
173,8,256,30000,0.063529,16.9017,phase2
174,8,256,30000,0.063099,17.0169,phase2
175,8,256,30000,0.063155,17.0017,phase2
176,8,256,30000,0.065474,16.3995,phase2
177,8,256,30000,0.067695,15.8615,phase2
178,8,256,30000,0.071774,14.96,phase2
179,8,256,30000,0.068638,15.6435,phase2
180,9,256,30000,0.071755,14.964,phase2
181,9,256,30000,0.067428,15.9243,phase2
182,9,256,30000,0.067524,15.9016,phase2
183,9,256,30000,0.069887,15.364,phase2
184,9,256,30000,0.071769,14.9611,phase2
185,9,256,30000,0.071757,14.9636,phase2
186,9,256,30000,0.067757,15.847,phase2
187,9,256,30000,0.067915,15.81,phase2
188,9,256,30000,0.063095,17.0179,phase2
189,9,256,30000,0.058816,18.2559,phase2
190,9,256,30000,0.071884,14.9372,phase2
191,9,256,30000,0.05961,18.0128,phase2
192,9,256,30000,0.05983,17.9464,phase2
193,9,256,30000,0.067515,15.9039,phase2
194,9,256,30000,0.071758,14.9633,phase2
195,9,256,30000,0.072109,14.8906,phase2
196,9,256,30000,0.07163,14.9902,phase2
197,9,256,30000,0.067516,15.9034,phase2
198,9,256,30000,0.05995,17.9106,phase2
199,9,256,30000,0.063158,17.0008,phase2
200,10,256,30000,0.063008,17.0413,phase2
201,10,256,30000,0.054472,19.7118,phase2
202,10,256,30000,0.055824,19.2343,phase2
203,10,256,30000,0.054364,19.7511,phase2
204,10,256,30000,0.063112,17.0132,phase2
205,10,256,30000,0.054809,19.5905,phase2
206,10,256,30000,0.050978,21.0628,phase2
207,10,256,30000,0.055313,19.4121,phase2
208,10,256,30000,0.055081,19.494,phase2
209,10,256,30000,0.054637,19.6523,phase2
210,10,256,30000,0.060037,17.8847,phase2
211,10,256,30000,0.058857,18.2431,phase2
212,10,256,30000,0.054818,19.5873,phase2
213,10,256,30000,0.055526,19.3375,phase2
214,10,256,30000,0.05624,19.0921,phase2
215,10,256,30000,0.054872,19.5683,phase2
216,10,256,30000,0.060088,17.8696,phase2
217,10,256,30000,0.051531,20.8369,phase2
218,10,256,30000,0.054606,19.6633,phase2
219,10,256,30000,0.05495,19.5405,phase2
220,11,256,30000,0.056166,19.1174,phase2
