iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
120,6,256,30000,0.062982,17.0485,phase1
121,6,256,30000,0.072077,14.8972,phase1
122,6,256,30000,0.071571,15.0024,phase1
123,6,256,30000,0.067176,15.984,phase1
124,6,256,30000,0.067429,15.9239,phase1
125,6,256,30000,0.063005,17.0422,phase1
126,6,256,30000,0.069373,15.4777,phase1
127,6,256,30000,0.071758,14.9633,phase1
128,6,256,30000,0.071758,14.9633,phase1
129,6,256,30000,0.067418,15.9267,phase1
130,6,256,30000,0.067428,15.9243,phase1
131,6,256,30000,0.067379,15.9359,phase1
132,6,256,30000,0.071743,14.9666,phase1
133,6,256,30000,0.063453,16.9218,phase1
134,6,256,30000,0.071788,14.9571,phase1
135,6,256,30000,0.062925,17.0637,phase1
136,6,256,30000,0.063535,16.9001,phase1
137,6,256,30000,0.068735,15.6216,phase1
138,6,256,30000,0.071583,15.0,phase1
139,6,256,30000,0.071809,14.9528,phase1
140,7,2048,30000,0.522715,16.4333,phase2
141,7,2048,30000,0.526749,16.3075,phase2
142,7,2048,30000,0.531698,16.1557,phase2
143,7,2048,30000,0.536156,16.0213,phase2
144,7,2048,30000,0.544852,15.7656,phase2
145,7,2048,30000,0.541623,15.8596,phase2
146,7,2048,30000,0.512843,16.7496,phase2
147,7,2048,30000,0.509144,16.8713,phase2
148,7,2048,30000,0.543872,15.794,phase2
149,7,2048,30000,0.519066,16.5488,phase2
150,7,2048,30000,0.530873,16.1808,phase2
151,7,2048,30000,0.531811,16.1522,phase2
152,7,2048,30000,0.539397,15.9251,phase2
153,7,2048,30000,0.514996,16.6796,phase2
154,7,2048,30000,0.523306,16.4148,phase2
155,7,2048,30000,0.522977,16.4251,phase2
156,7,2048,30000,0.50609,16.9732,phase2
157,7,2048,30000,0.527035,16.2986,phase2
158,7,2048,30000,0.514349,16.7006,phase2
159,7,2048,30000,0.528218,16.2621,phase2
160,8,2048,30000,0.513569,16.726,phase2
161,8,2048,30000,0.534898,16.059,phase2
162,8,2048,30000,0.535486,16.0414,phase2
163,8,2048,30000,0.5282,16.2626,phase2
164,8,2048,30000,0.523512,16.4083,phase2
165,8,2048,30000,0.492881,17.428,phase2
166,8,2048,30000,0.52371,16.4021,phase2
167,8,2048,30000,0.51917,16.5455,phase2
168,8,2048,30000,0.514511,16.6954,phase2
169,8,2048,30000,0.552839,15.5379,phase2
170,8,2048,30000,0.498151,17.2436,phase2
171,8,2048,30000,0.527044,16.2983,phase2
172,8,2048,30000,0.513404,16.7313,phase2
173,8,2048,30000,0.539016,15.9363,phase2
174,8,2048,30000,0.526597,16.3122,phase2
175,8,2048,30000,0.519491,16.5353,phase2
176,8,2048,30000,0.530598,16.1892,phase2
177,8,2048,30000,0.522203,16.4494,phase2
178,8,2048,30000,0.522451,16.4416,phase2
179,8,2048,30000,0.532244,16.1391,phase2
180,9,2048,30000,0.544377,15.7794,phase2
181,9,2048,30000,0.543524,15.8041,phase2
182,9,2048,30000,0.505231,17.002,phase2
183,9,2048,30000,0.518409,16.5698,phase2
184,9,2048,30000,0.549221,15.6402,phase2
185,9,2048,30000,0.522928,16.4266,phase2
186,9,2048,30000,0.526516,16.3147,phase2
187,9,2048,30000,0.52658,16.3127,phase2
188,9,2048,30000,0.519323,16.5406,phase2
189,9,2048,30000,0.512456,16.7623,phase2
190,9,2048,30000,0.51462,16.6918,phase2
191,9,2048,30000,0.512311,16.767,phase2
192,9,2048,30000,0.508957,16.8775,phase2
193,9,2048,30000,0.523219,16.4175,phase2
