regime,scenario,arm,round,job_id,label,tier,c_policy,c_eval,slowdown_mean,slowdown_std,attainment_mean,slo_met_frac,comm_slowdown_v1,slowdown_lt1
S1_ample,S1,longliu,4,4,J4_S_XS,standard,2.0,2.0,1.1806,0.0601,0.5903,1.000,2.2042,N
S1_ample,S1,longliu,5,0,J0_P_L,premium,1.35,1.5,1.0144,0.0257,0.6763,1.000,1.0540,N
S1_ample,S1,longliu,5,1,J1_P_M,premium,1.35,1.5,1.1774,0.0365,0.7849,1.000,1.6643,N
S1_ample,S1,longliu,5,2,J2_S_M,standard,2.0,2.0,1.0150,0.0151,0.5075,1.000,1.0645,N
S1_ample,S1,longliu,5,3,J3_S_S,standard,2.0,2.0,1.4216,0.2704,0.7108,1.000,3.3039,N
S1_ample,S1,longliu,5,4,J4_S_XS,standard,2.0,2.0,1.3582,0.1435,0.6791,1.000,3.3881,N
S1_ample,S1,static,1,0,J0_P_L,premium,1.35,1.5,1.1263,0.1300,0.7509,1.000,1.4730,N
S1_ample,S1,static,1,1,J1_P_M,premium,1.35,1.5,1.1826,0.0357,0.7884,1.000,1.6840,N
S1_ample,S1,static,1,2,J2_S_M,standard,2.0,2.0,1.0107,0.0198,0.5053,1.000,1.0457,N
S1_ample,S1,static,1,3,J3_S_S,standard,2.0,2.0,0.9847,0.0155,0.4923,1.000,0.9162,Y
S1_ample,S1,static,1,4,J4_S_XS,standard,2.0,2.0,0.9873,0.0051,0.4936,1.000,0.9152,Y
S1_ample,S1,static,2,0,J0_P_L,premium,1.35,1.5,1.1265,0.1306,0.7510,1.000,1.4738,N
S1_ample,S1,static,2,1,J1_P_M,premium,1.35,1.5,1.1910,0.0607,0.7940,0.995,1.7154,N
S1_ample,S1,static,2,2,J2_S_M,standard,2.0,2.0,1.0100,0.0193,0.5050,1.000,1.0429,N
S1_ample,S1,static,2,3,J3_S_S,standard,2.0,2.0,0.9860,0.0174,0.4930,1.000,0.9237,Y
S1_ample,S1,static,2,4,J4_S_XS,standard,2.0,2.0,0.9884,0.0101,0.4942,1.000,0.9229,Y
S1_ample,S1,static,3,0,J0_P_L,premium,1.35,1.5,1.0503,0.0719,0.7002,1.000,1.1882,N
S1_ample,S1,static,3,1,J1_P_M,premium,1.35,1.5,1.1543,0.0625,0.7695,1.000,1.5778,N
S1_ample,S1,static,3,2,J2_S_M,standard,2.0,2.0,1.0406,0.0373,0.5203,1.000,1.1743,N
S1_ample,S1,static,3,3,J3_S_S,standard,2.0,2.0,1.0384,0.0351,0.5192,1.000,1.2101,N
S1_ample,S1,static,3,4,J4_S_XS,standard,2.0,2.0,1.0411,0.0170,0.5205,1.000,1.2737,N
S1_ample,S1,static,4,0,J0_P_L,premium,1.35,1.5,1.1415,0.1314,0.7610,1.000,1.5300,N
S1_ample,S1,static,4,1,J1_P_M,premium,1.35,1.5,1.2310,0.0842,0.8206,1.000,1.8651,N
S1_ample,S1,static,4,2,J2_S_M,standard,2.0,2.0,1.0220,0.0349,0.5110,1.000,1.0944,N
S1_ample,S1,static,4,3,J3_S_S,standard,2.0,2.0,1.0255,0.0342,0.5127,1.000,1.1393,N
S1_ample,S1,static,4,4,J4_S_XS,standard,2.0,2.0,1.0327,0.0154,0.5163,1.000,1.2177,N
S1_ample,S1,static,5,0,J0_P_L,premium,1.35,1.5,1.0741,0.1291,0.7161,1.000,1.2775,N
S1_ample,S1,static,5,1,J1_P_M,premium,1.35,1.5,1.2008,0.0479,0.8005,1.000,1.7520,N
S1_ample,S1,static,5,2,J2_S_M,standard,2.0,2.0,1.0131,0.0320,0.5066,1.000,1.0563,N
S1_ample,S1,static,5,3,J3_S_S,standard,2.0,2.0,1.0166,0.0278,0.5083,1.000,1.0906,N
S1_ample,S1,static,5,4,J4_S_XS,standard,2.0,2.0,0.9886,0.0082,0.4943,1.000,0.9238,Y
S1_deep,S1,fair,1,0,J0_P_L,premium,1.35,1.5,1.1783,0.0898,0.7855,1.000,1.6678,N
S1_deep,S1,fair,1,1,J1_P_M,premium,1.35,1.5,1.3118,0.0633,0.8745,1.000,2.1679,N
S1_deep,S1,fair,1,2,J2_S_M,standard,2.0,2.0,1.1160,0.0342,0.5580,1.000,1.4980,N
S1_deep,S1,fair,1,3,J3_S_S,standard,2.0,2.0,1.1142,0.0616,0.5571,1.000,1.6239,N
S1_deep,S1,fair,1,4,J4_S_XS,standard,2.0,2.0,1.1048,0.0112,0.5524,1.000,1.6986,N
S1_deep,S1,fair,2,0,J0_P_L,premium,1.35,1.5,1.2737,0.1094,0.8491,0.995,2.0250,N
S1_deep,S1,fair,2,1,J1_P_M,premium,1.35,1.5,1.3560,0.0562,0.9040,1.000,2.3334,N
S1_deep,S1,fair,2,2,J2_S_M,standard,2.0,2.0,1.1321,0.0287,0.5661,1.000,1.5671,N
S1_deep,S1,fair,2,3,J3_S_S,standard,2.0,2.0,1.1317,0.0210,0.5659,1.000,1.7199,N
S1_deep,S1,fair,2,4,J4_S_XS,standard,2.0,2.0,1.0954,0.0119,0.5477,1.000,1.6360,N
S1_deep,S1,fair,3,0,J0_P_L,premium,1.35,1.5,1.3072,0.1305,0.8715,0.995,2.1507,N
S1_deep,S1,fair,3,1,J1_P_M,premium,1.35,1.5,1.3500,0.0783,0.9000,0.995,2.3110,N
S1_deep,S1,fair,3,2,J2_S_M,standard,2.0,2.0,1.1774,0.0416,0.5887,1.000,1.7614,N
S1_deep,S1,fair,3,3,J3_S_S,standard,2.0,2.0,1.1490,0.0277,0.5745,1.000,1.8143,N
S1_deep,S1,fair,3,4,J4_S_XS,standard,2.0,2.0,1.1027,0.0157,0.5514,1.000,1.6849,N
