regime,arm,round,job_id,label,class,c_i,slowdown_mean,attainment_mean,slo_met_frac,slowdown_lt1
ample,fair,1,0,J0_premium_L,premium,1.2,1.5399,1.2833,0.000,N
ample,fair,1,1,J1_standard_M,standard,1.5,1.0129,0.6753,1.000,N
ample,fair,2,0,J0_premium_L,premium,1.2,1.4439,1.2033,0.000,N
ample,fair,2,1,J1_standard_M,standard,1.5,1.0140,0.6760,1.000,N
ample,fair,3,0,J0_premium_L,premium,1.2,1.5134,1.2611,0.000,N
ample,fair,3,1,J1_standard_M,standard,1.5,1.0122,0.6748,1.000,N
ample,longliu,1,0,J0_premium_L,premium,1.2,1.0115,0.8429,1.000,N
ample,longliu,1,1,J1_standard_M,standard,1.5,0.6634,0.4423,1.000,Y
ample,longliu,2,0,J0_premium_L,premium,1.2,1.0131,0.8442,1.000,N
ample,longliu,2,1,J1_standard_M,standard,1.5,0.9868,0.6579,1.000,Y
ample,longliu,3,0,J0_premium_L,premium,1.2,1.5122,1.2601,0.000,N
ample,longliu,3,1,J1_standard_M,standard,1.5,0.6644,0.4430,1.000,Y
ample,static,1,0,J0_premium_L,premium,1.2,1.5032,1.2526,0.000,N
ample,static,1,1,J1_standard_M,standard,1.5,0.6818,0.4545,1.000,Y
ample,static,2,0,J0_premium_L,premium,1.2,1.0068,0.8390,1.000,N
ample,static,2,1,J1_standard_M,standard,1.5,0.6812,0.4541,1.000,Y
