scene,spine_bw,policy,n_seeds,seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean,p_attn_s0,p_attn_s1,p_attn_s2,p_attn_s3,p_attn_s4,p_attn_s5,p_attn_s6,p_attn_s7,p_attn_s8,p_attn_s9
E2',800,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9667,0.0537,0.9666,1.0000,1.0000,1.0000,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,0.8889,0.8889
E2',800,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9222,0.1391,0.9616,0.9934,1.0000,1.0000,0.5556,1.0000,0.8889,1.0000,1.0000,1.0000,0.8889,0.8889
E2-pro,630,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8800,0.1687,0.9365,0.8753,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.6000
E2-pro,630,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8600,0.1647,0.9180,0.8091,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,0.8000,1.0000,0.8000,0.6000
E2-pro,630,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1700,0.9746,0.9710,1.0000,1.0000,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.6000
E2-pro,630,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8800,0.1687,0.9356,0.8670,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.6000
E2-pro,630,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1414,0.9676,0.9568,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.8000
E2-pro,630,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9800,0.0632,0.9799,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000
E2-pro,630,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8800,0.1687,0.9284,0.8765,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.6000
E2-pro,800,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1414,0.9475,0.9281,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.8000
E2-pro,800,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1414,0.9284,0.8591,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.8000
E2-pro,800,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9800,0.0632,0.9800,0.9916,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000
E2-pro,800,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1414,0.9459,0.9212,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.8000
E2-pro,800,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9600,0.0843,0.9776,0.9895,1.0000,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000
E2-pro,800,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9800,0.0632,0.9800,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000
E2-pro,800,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1414,0.9378,0.9189,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.8000
