scene,spine_bw,policy,n_seeds,seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean,p_attn_s0,p_attn_s1,p_attn_s2,p_attn_s3,p_attn_s4,p_attn_s5,p_attn_s6,p_attn_s7,p_attn_s8,p_attn_s9
E1,400,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.3125,0.1792,0.7925,0.5410,0.3750,0.2500,0.0000,0.3750,0.3750,0.2500,0.2500,0.5000,0.6250,0.1250
E1,400,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6875,0.2145,0.8665,0.6887,0.6250,0.7500,0.2500,1.0000,0.5000,0.7500,0.8750,0.8750,0.6250,0.6250
E1,400,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7000,0.3238,0.8970,0.8017,0.3750,0.7500,0.0000,1.0000,0.5000,1.0000,0.8750,1.0000,0.7500,0.7500
E1,400,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6875,0.2902,0.8919,0.7131,0.5000,0.7500,0.0000,1.0000,0.5000,0.8750,0.8750,0.8750,0.7500,0.7500
E1,400,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7375,0.2853,0.9086,0.8662,0.5000,1.0000,0.1250,1.0000,0.5000,0.7500,0.8750,1.0000,0.7500,0.8750
E1,400,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7625,0.1376,0.9465,0.9509,0.8750,0.8750,0.5000,0.7500,0.6250,0.8750,0.8750,0.7500,0.8750,0.6250
E1,400,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7000,0.2648,0.8917,0.7074,0.6250,0.7500,0.1250,0.8750,0.5000,1.0000,1.0000,0.8750,0.6250,0.6250
E1,500,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4500,0.1787,0.8459,0.6209,0.5000,0.5000,0.2500,0.3750,0.6250,0.2500,0.3750,0.7500,0.6250,0.2500
E1,500,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7375,0.1994,0.9086,0.8141,0.6250,0.8750,0.3750,1.0000,0.5000,0.8750,0.8750,0.8750,0.7500,0.6250
E1,500,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7625,0.2792,0.9337,0.8973,0.7500,0.7500,0.1250,1.0000,0.5000,1.0000,1.0000,1.0000,0.7500,0.7500
E1,500,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7625,0.2462,0.9333,0.8322,0.6250,0.8750,0.2500,1.0000,0.5000,0.8750,1.0000,1.0000,0.7500,0.7500
E1,500,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8000,0.3184,0.9367,0.9194,0.8750,1.0000,0.0000,1.0000,0.5000,0.8750,0.8750,1.0000,0.8750,1.0000
E1,500,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1291,0.9650,0.9714,1.0000,0.8750,0.8750,1.0000,0.6250,1.0000,1.0000,1.0000,0.8750,0.7500
E1,500,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8000,0.2713,0.9284,0.8248,0.7500,0.8750,0.1250,1.0000,0.7500,1.0000,1.0000,1.0000,0.6250,0.8750
