Policy,total_iters,slo_attainment_ci1.5,slo_attainment_ci2.0,slo_attainment_ci3.0,slo_attainment_overall
Fair,208827.4000,0.0000,0.0000,1.0000,0.1694
SRPT,216569.9000,0.2017,0.6512,1.0000,0.4927
CRUX,224739.8000,0.0000,1.0000,1.0000,0.5161
LongLiu,224811.6000,0.4633,0.9814,1.0000,0.7339
