Policy,total_iters(mean±std),slo_attainment_ci1.5(mean±std),slo_attainment_ci2.0(mean±std),slo_attainment_ci3.0(mean±std),slo_attainment_overall(mean±std),sas_mean_overall(mean±std),sas_median_overall(mean±std),sas_min_overall(mean±std),sas_max_overall(mean±std),sas_mean_ci1.5(mean±std),sas_mean_ci2.0(mean±std),sas_mean_ci3.0(mean±std),jain_index(mean±std),gini_coeff(mean±std),catastrophic_rate(mean±std),p_vs_crux
Fair,38669.3000±8702.3513,0.2750±0.1245,0.0750±0.0874,0.5000±0.0000,0.2458±0.0665,0.7709±0.0903,0.5759±0.1125,0.1533±0.1366,2.7391±0.9281,0.8677±0.1838,0.5774±0.0439,0.8673±0.0755,0.6469±0.1105,0.3516±0.0523,0.0167±0.0215,2.5625e-04
SRPT,42904.6000±9621.5521,0.2333±0.0766,0.2250±0.0986,0.5000±0.0000,0.2750±0.0527,0.8244±0.0889,0.7702±0.1197,0.0659±0.0745,2.8749±0.8313,0.8025±0.1773,0.7833±0.0422,0.9722±0.0744,0.6392±0.0953,0.3758±0.0546,0.1083±0.0489,2.5855e-01
CRUX,43685.0000±9842.4653,0.2583±0.1072,0.2375±0.0922,0.5000±0.0000,0.2917±0.0708,0.8093±0.1034,0.8291±0.0990,0.0894±0.0860,2.6262±0.9825,0.7129±0.1920,0.8722±0.0494,0.9727±0.0769,0.6626±0.1031,0.3677±0.0551,0.1000±0.0714,
LongLiu,43130.4000±10161.3426,0.3667±0.1809,0.3000±0.1344,0.5000±0.0000,0.3667±0.1270,0.9040±0.1793,0.8746±0.1610,0.0085±0.0095,3.4047±0.8294,0.9664±0.3118,0.7699±0.0980,0.9849±0.0746,0.5946±0.0542,0.3998±0.0651,0.2083±0.1559,9.0379e-02
