Policy,total_iters(mean±std),slo_attainment_ci1.5(mean±std),slo_attainment_ci2.0(mean±std),slo_attainment_ci3.0(mean±std),slo_attainment_overall(mean±std),sas_mean_overall(mean±std),sas_median_overall(mean±std),sas_min_overall(mean±std),sas_max_overall(mean±std),sas_mean_ci1.5(mean±std),sas_mean_ci2.0(mean±std),sas_mean_ci3.0(mean±std),jain_index(mean±std),gini_coeff(mean±std),catastrophic_rate(mean±std),p_vs_crux
Fair,38669.3000±8702.3513,0.2750±0.1245,0.0750±0.0874,0.5000±0.0000,0.2458±0.0665,0.7709±0.0903,0.5759±0.1125,0.1533±0.1366,2.7391±0.9281,0.8677±0.1838,0.5774±0.0439,0.8673±0.0755,0.6469±0.1105,0.3516±0.0523,0.0167±0.0215,2.9655e-04
SRPT,42904.6000±9621.5521,0.2333±0.0766,0.2250±0.0986,0.5000±0.0000,0.2750±0.0527,0.8244±0.0889,0.7702±0.1197,0.0659±0.0745,2.8749±0.8313,0.8025±0.1773,0.7833±0.0422,0.9722±0.0744,0.6392±0.0953,0.3758±0.0546,0.1083±0.0489,2.5673e-01
CRUX,43681.7000±9840.0044,0.2583±0.1072,0.2375±0.0922,0.5000±0.0000,0.2917±0.0708,0.8091±0.1036,0.8268±0.0990,0.0895±0.0860,2.6268±0.9820,0.7128±0.1919,0.8716±0.0499,0.9727±0.0769,0.6624±0.1031,0.3678±0.0551,0.1000±0.0714,
LongLiu,42692.0000±9799.4029,0.3750±0.1534,0.3625±0.1243,0.5000±0.0000,0.3917±0.0986,0.8374±0.1642,0.9038±0.0912,0.0481±0.1371,3.0370±0.8992,0.8176±0.2961,0.8220±0.0805,0.9274±0.1021,0.5809±0.0808,0.4294±0.0852,0.2750±0.1537,3.3258e-01
LongLiu_v2,43025.7000±9201.3788,0.3167±0.1405,0.3125±0.1792,0.5000±0.0000,0.3458±0.1129,0.7980±0.0944,0.8970±0.1123,0.0494±0.0637,2.7867±0.7408,0.7116±0.1804,0.8468±0.1111,0.9598±0.0993,0.5890±0.0560,0.4326±0.0371,0.2625±0.0834,4.4404e-01
