Policy,total_iters(mean±std),slo_attainment_ci1.5(mean±std),slo_attainment_ci2.0(mean±std),slo_attainment_ci3.0(mean±std),slo_attainment_overall(mean±std),sas_mean_overall(mean±std),sas_median_overall(mean±std),sas_min_overall(mean±std),sas_max_overall(mean±std),sas_mean_ci1.5(mean±std),sas_mean_ci2.0(mean±std),sas_mean_ci3.0(mean±std),jain_index(mean±std),gini_coeff(mean±std),catastrophic_rate(mean±std),p_vs_crux
Fair,46996.5000±10593.2369,0.9833±0.0351,0.4375±0.1062,0.6250±0.1318,0.7417±0.0329,2.2360±0.3588,1.3791±0.2273,0.5120±0.2854,7.9392±0.8202,3.4353±0.7070,1.0631±0.0953,0.9837±0.0741,0.5517±0.0454,0.4148±0.0483,0.0083±0.0176,7.7522e-01
SRPT,48588.3000±10658.8090,0.8167±0.0861,0.7125±0.0844,0.9250±0.1208,0.8000±0.0512,2.2332±0.3702,1.4572±0.2521,0.4290±0.2552,7.8917±0.4502,3.3189±0.7327,1.2085±0.0764,1.0253±0.0801,0.5462±0.0384,0.4228±0.0340,0.0083±0.0176,5.3581e-01
CRUX,48956.9000±10543.7537,0.9000±0.0766,0.7750±0.0527,0.9750±0.0791,0.8708±0.0414,2.2402±0.3615,1.4625±0.2627,0.5476±0.3192,7.8914±0.6448,3.2775±0.7144,1.2902±0.0633,1.0281±0.0810,0.5623±0.0470,0.3977±0.0547,0.0083±0.0176,
LongLiu,48709.5000±10627.2224,0.9333±0.1230,0.7875±0.1324,0.9250±0.1687,0.8833±0.1125,2.2131±0.3720,1.5186±0.3324,0.6615±0.4097,7.8323±0.5604,3.2494±0.7666,1.2516±0.0890,1.0271±0.0807,0.5683±0.0521,0.3758±0.0705,0.0083±0.0176,2.5816e-01
