[JobA-CRUX-MAIN] Loaded T_target=4201.09ms from /tmp/ttarget_v5_jobA.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29520...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29520, priority=P3
[JobA-CRUX-MAIN] scheduler=CRUX-static, queue=SP, payload=1024MB (fixed), reverse_window=7 (c_i swap), num_iters=300
[JobA-CRUX-MAIN] Phase 1 (window 0-6): c_i=1.2
[JobA-CRUX-MAIN] Phase 2 (window 7-14): c_i=3.0
[JobA-CRUX] Static priority: P3 (DSCP=24) — based on GPU intensity, held fixed
[JobA-CRUX-MAIN] GPU 0: Quadro RTX 4000, free=7.5 GB
[JobA-CRUX-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobA-CRUX-MAIN] iter   0 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=745.4ms, bw=5.76 Gbps [phase1]
[JobA-CRUX-MAIN] iter   1 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=591.0ms, bw=7.27 Gbps [phase1]
[JobA-CRUX-MAIN] iter   2 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=579.1ms, bw=7.42 Gbps [phase1]
[JobA-CRUX-MAIN] iter   3 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=603.8ms, bw=7.11 Gbps [phase1]
[JobA-CRUX-MAIN] iter   4 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=578.8ms, bw=7.42 Gbps [phase1]
[JobA-CRUX-MAIN] iter   5 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=589.7ms, bw=7.28 Gbps [phase1]
[JobA-CRUX-MAIN] iter   6 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=600.6ms, bw=7.15 Gbps [phase1]
[JobA-CRUX-MAIN] iter   7 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=594.1ms, bw=7.23 Gbps [phase1]
[JobA-CRUX-MAIN] iter   8 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=588.2ms, bw=7.30 Gbps [phase1]
[JobA-CRUX-MAIN] iter   9 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=580.8ms, bw=7.39 Gbps [phase1]
[JobA-CRUX-MAIN] iter  10 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=596.7ms, bw=7.20 Gbps [phase1]
[JobA-CRUX-MAIN] iter  11 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=603.0ms, bw=7.12 Gbps [phase1]
[JobA-CRUX-MAIN] iter  12 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=582.6ms, bw=7.37 Gbps [phase1]
[JobA-CRUX-MAIN] iter  13 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=596.1ms, bw=7.21 Gbps [phase1]
[JobA-CRUX-MAIN] iter  14 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=594.6ms, bw=7.22 Gbps [phase1]
[JobA-CRUX-MAIN] iter  15 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=598.5ms, bw=7.18 Gbps [phase1]
[JobA-CRUX-MAIN] iter  16 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=599.2ms, bw=7.17 Gbps [phase1]
[JobA-CRUX-MAIN] iter  17 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=623.8ms, bw=6.89 Gbps [phase1]
[JobA-CRUX-MAIN] iter  18 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=625.0ms, bw=6.87 Gbps [phase1]
[JobA-CRUX-MAIN] iter  19 (window 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=634.9ms, bw=6.76 Gbps [phase1]
[JobA-CRUX-MAIN] iter  20 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=622.6ms, bw=6.90 Gbps [phase1]
[JobA-CRUX-MAIN] iter  21 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=606.3ms, bw=7.08 Gbps [phase1]
[JobA-CRUX-MAIN] iter  22 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=584.6ms, bw=7.35 Gbps [phase1]
[JobA-CRUX-MAIN] iter  23 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=926.1ms, bw=4.64 Gbps [phase1]
[JobA-CRUX-MAIN] iter  24 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1175.4ms, bw=3.65 Gbps [phase1]
[JobA-CRUX-MAIN] iter  25 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1149.0ms, bw=3.74 Gbps [phase1]
[JobA-CRUX-MAIN] iter  26 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1094.5ms, bw=3.92 Gbps [phase1]
[JobA-CRUX-MAIN] iter  27 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1110.2ms, bw=3.87 Gbps [phase1]
[JobA-CRUX-MAIN] iter  28 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1124.3ms, bw=3.82 Gbps [phase1]
[JobA-CRUX-MAIN] iter  29 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1200.7ms, bw=3.58 Gbps [phase1]
[JobA-CRUX-MAIN] iter  30 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1215.3ms, bw=3.53 Gbps [phase1]
[JobA-CRUX-MAIN] iter  31 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1144.6ms, bw=3.75 Gbps [phase1]
[JobA-CRUX-MAIN] iter  32 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1105.5ms, bw=3.88 Gbps [phase1]
[JobA-CRUX-MAIN] iter  33 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1146.4ms, bw=3.75 Gbps [phase1]
[JobA-CRUX-MAIN] iter  34 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1187.8ms, bw=3.62 Gbps [phase1]
[JobA-CRUX-MAIN] iter  35 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1140.3ms, bw=3.77 Gbps [phase1]
[JobA-CRUX-MAIN] iter  36 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1128.9ms, bw=3.80 Gbps [phase1]
[JobA-CRUX-MAIN] iter  37 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1137.4ms, bw=3.78 Gbps [phase1]
[JobA-CRUX-MAIN] iter  38 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1127.3ms, bw=3.81 Gbps [phase1]
[JobA-CRUX-MAIN] iter  39 (window 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=1145.5ms, bw=3.75 Gbps [phase1]
[JobA-CRUX-MAIN] iter  40 (window 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=1096.7ms, bw=3.92 Gbps [phase1]
[JobA-CRUX-MAIN] iter  41 (window 2): payload=1024MB, c_i=1.2, sleep=30000us, comm=1207.7ms, bw=3.56 Gbps [phase1]
