epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.253742,17.1512,-0.562866,1,32,0.4332,3905.163
1,phase1,1024,3.0,30000,0.445716,9.7154,-0.399311,2,24,0.7609,3905.163
2,phase1,1024,3.0,30000,0.425258,10.4641,-0.356397,2,24,0.726,3905.163
3,phase1,1024,3.0,30000,0.384714,12.6445,-0.352308,2,24,0.6568,3905.163
4,phase1,1024,3.0,30000,0.243117,17.6971,-0.398092,2,24,0.415,3905.163
5,phase1,1024,3.0,30000,0.242006,17.7709,-0.428932,2,24,0.4131,3905.163
6,phase1,1024,3.0,30000,0.236301,18.2074,-0.452374,2,24,0.4034,3905.163
7,phase2,1024,1.2,30000,0.24387,17.6674,0.329199,6,8,1.0408,3905.163
8,phase2,1024,1.2,30000,0.269961,16.0234,0.310568,6,8,1.1522,3905.163
9,phase2,1024,1.2,30000,0.252346,17.1474,0.288152,4,0,1.077,3905.163
10,phase2,1024,1.2,30000,0.269787,16.3449,0.276574,4,0,1.1514,3905.163
11,phase2,1024,1.2,30000,0.259747,16.6767,0.263355,4,0,1.1086,3905.163
12,phase2,1024,1.2,30000,0.250923,17.2081,0.249274,4,0,1.0709,3905.163
13,phase2,1024,1.2,30000,0.258639,16.7811,0.239554,4,0,1.1038,3905.163
14,phase2,1024,1.2,30000,0.261905,16.5098,0.232032,4,0,1.1178,3905.163
