window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,2.206377,1.9849,2.770254,6,8,3.7666,3905.163
1,phase1,1024,3.0,30000,1.221667,3.5187,1.929685,6,8,2.0856,3905.163
2,phase1,1024,3.0,30000,1.24301,3.4611,1.661614,6,8,2.122,3905.163
3,phase1,1024,3.0,30000,1.224276,3.5117,1.519572,6,8,2.09,3905.163
4,phase1,1024,3.0,30000,1.225861,3.5067,1.434918,6,8,2.0927,3905.163
5,phase1,1024,3.0,30000,1.247698,3.4456,1.384705,6,8,2.13,3905.163
6,phase1,1024,3.0,30000,1.238385,3.472,1.346565,6,8,2.1141,3905.163
7,phase2,1024,1.2,30000,1.243775,3.4569,4.797766,6,8,5.3083,3905.163
8,phase2,1024,1.2,30000,1.241531,3.463,4.74332,6,8,5.2987,3905.163
9,phase2,1024,1.2,30000,1.243022,3.4638,4.700398,6,8,5.305,3905.163
10,phase2,1024,1.2,30000,1.141977,3.9677,4.625967,6,8,4.8738,3905.163
11,phase2,1024,1.2,30000,0.655951,6.5583,4.390472,6,8,2.7995,3905.163
12,phase2,1024,1.2,30000,0.648598,6.632,4.188793,6,8,2.7681,3905.163
13,phase2,1024,1.2,30000,0.655043,6.5671,4.017892,6,8,2.7956,3905.163
14,phase2,1024,1.2,30000,0.661536,6.4995,3.871621,6,8,2.8233,3905.163
