Policy,total_iters(mean±std),slo_attainment_ci1.5(mean±std),slo_attainment_ci2.0(mean±std),slo_attainment_ci3.0(mean±std),slo_attainment_overall(mean±std),sas_mean_overall(mean±std),sas_median_overall(mean±std),sas_min_overall(mean±std),sas_max_overall(mean±std),sas_mean_ci1.5(mean±std),sas_mean_ci2.0(mean±std),sas_mean_ci3.0(mean±std),jain_index(mean±std),gini_coeff(mean±std),catastrophic_rate(mean±std),p_vs_crux
Fair,160371.7000±24949.6841,0.0266±0.0266,0.1186±0.0074,0.6190±0.0000,0.1547±0.0151,0.4661±0.0314,0.2454±0.0160,0.0243±0.0395,3.1221±1.0435,0.3241±0.0501,0.5203±0.0240,0.7880±0.0269,0.4117±0.0342,0.5203±0.0242,0.4172±0.0361,8.3970e-06
SRPT,199867.3000±31790.3444,0.0250±0.0305,0.1488±0.0294,0.6190±0.0000,0.1641±0.0230,0.5177±0.0303,0.3308±0.0297,0.0018±0.0058,2.9102±0.8604,0.2213±0.0670,0.7521±0.0275,0.9414±0.0225,0.4486±0.0254,0.5480±0.0155,0.4188±0.0206,1.5699e-03
CRUX,193313.6000±30633.6167,0.0172±0.0249,0.1535±0.0367,0.6190±0.0000,0.1617±0.0227,0.5076±0.0285,0.2857±0.0223,0.0207±0.0334,2.7077±0.8528,0.2439±0.0543,0.7130±0.0476,0.8905±0.0310,0.4688±0.0245,0.5053±0.0158,0.4016±0.0290,
LongLiu,194289.0000±37400.5774,0.1672±0.0977,0.1907±0.0578,0.6286±0.0201,0.2508±0.0624,0.6949±0.2732,0.3381±0.3080,0.0009±0.0018,4.7106±1.9738,0.6565±0.4711,0.6506±0.0999,0.9028±0.0941,0.3382±0.0291,0.6505±0.0300,0.4938±0.1210,6.6518e-02
