Policy,total_iters(mean±std),slo_attainment_ci1.5(mean±std),slo_attainment_ci2.0(mean±std),slo_attainment_ci3.0(mean±std),slo_attainment_overall(mean±std),sas_mean_overall(mean±std),sas_median_overall(mean±std),sas_min_overall(mean±std),sas_max_overall(mean±std),sas_mean_ci1.5(mean±std),sas_mean_ci2.0(mean±std),sas_mean_ci3.0(mean±std),jain_index(mean±std),gini_coeff(mean±std),catastrophic_rate(mean±std),p_vs_crux
Fair,40415.4000±9395.2702,0.7000±0.1826,0.2500±0.1250,0.5000±0.0000,0.5167±0.1236,1.4784±0.2493,1.0538±0.1028,0.3962±0.2339,5.1808±0.9463,2.0845±0.4851,0.8561±0.0708,0.9044±0.0908,0.5950±0.0642,0.3672±0.0437,0.0083±0.0186,4.2209e-01
SRPT,42761.4000±9686.2527,0.6333±0.2541,0.6000±0.1630,0.5500±0.1118,0.6083±0.0864,1.4818±0.2504,1.0826±0.0638,0.1907±0.1211,5.2077±0.9679,1.9598±0.5024,1.0196±0.0535,0.9722±0.1042,0.5793±0.0504,0.3843±0.0244,0.0333±0.0543,7.6475e-01
CRUX,43408.2000±9660.7789,0.6500±0.1990,0.7250±0.0559,0.5500±0.1118,0.6583±0.0801,1.4971±0.2706,1.1052±0.0745,0.2777±0.1929,5.3187±0.9455,1.9137±0.5308,1.1312±0.0490,0.9792±0.1070,0.6103±0.0514,0.3558±0.0197,0.0083±0.0186,
LongLiu,43133.6000±9326.3812,0.8167±0.1900,0.5500±0.0685,0.6000±0.1369,0.6917±0.1304,1.5092±0.2246,1.2013±0.1967,0.1875±0.1923,5.0429±1.2178,1.9329±0.4063,1.1388±0.0835,0.9788±0.1041,0.6528±0.0989,0.3337±0.0585,0.0417±0.0417,6.6691e-01
