Policy,total_iters,slo_attainment_ci1.5,slo_attainment_ci2.0,slo_attainment_ci3.0,slo_attainment_overall,sas_mean_overall,sas_median_overall,sas_min_overall,sas_max_overall,sas_mean_ci1.5,sas_mean_ci2.0,sas_mean_ci3.0
Fair,74923.0000,0.0000,0.0000,0.5000,0.0833,0.3022,0.3335,0.0000,1.0824,0.1122,0.3264,0.8238
SRPT,85121.0000,0.0000,0.0000,0.5000,0.0833,0.3360,0.2559,0.0000,1.0824,0.0927,0.3974,0.9427
CRUX,89893.0000,0.0000,0.0000,0.5000,0.0833,0.3531,0.1863,0.0000,1.0824,0.0448,0.5085,0.9671
LongLiu,61773.0000,0.0000,0.0000,0.5000,0.0833,0.2773,0.2777,0.0000,1.0824,0.1402,0.2681,0.7072
