iter,window,comm_dur_s,bw_gbps,phase
164,8,1.152491,7.4534,contested
165,8,1.184811,7.25,contested
166,8,1.144011,7.5086,contested
167,8,1.295489,6.6306,contested
168,8,1.171294,7.3337,contested
169,8,1.45189,5.9164,contested
170,8,1.733141,4.9563,contested
171,8,1.23239,6.9701,contested
172,8,1.240957,6.922,contested
173,8,1.210368,7.097,contested
174,8,1.20048,7.1554,contested
175,8,1.191852,7.2072,contested
176,8,2.112435,4.0664,contested
177,8,1.291289,6.6522,contested
178,8,1.239236,6.9316,contested
179,8,1.24345,6.9081,contested
180,9,1.226345,7.0045,contested
181,9,1.226207,7.0053,contested
182,9,1.958015,4.3871,contested
183,9,1.436648,5.9792,contested
184,9,1.209285,7.1033,contested
185,9,1.230709,6.9797,contested
186,9,1.273768,6.7437,contested
187,9,1.195937,7.1826,contested
188,9,1.521743,5.6448,contested
189,9,1.798821,4.7753,contested
190,9,1.175022,7.3104,contested
191,9,1.156885,7.4251,contested
192,9,1.249624,6.874,contested
193,9,1.209125,7.1043,contested
194,9,1.247875,6.8837,contested
195,9,2.147226,4.0005,contested
196,9,1.239901,6.9279,contested
197,9,1.15847,7.4149,contested
198,9,1.247966,6.8831,contested
199,9,1.262464,6.8041,contested
