iter,window,comm_dur_s,bw_gbps,phase
164,8,2.499902,3.4361,contested
165,8,2.509437,3.4231,contested
166,8,2.518896,3.4102,contested
167,8,2.532946,3.3913,contested
168,8,2.488642,3.4517,contested
169,8,2.496112,3.4413,contested
170,8,2.539788,3.3821,contested
171,8,2.542308,3.3788,contested
172,8,2.492941,3.4457,contested
173,8,2.518667,3.4105,contested
174,8,2.478021,3.4664,contested
175,8,2.505063,3.429,contested
176,8,2.543431,3.3773,contested
177,8,2.531356,3.3934,contested
178,8,2.508287,3.4246,contested
179,8,2.458249,3.4943,contested
180,9,2.549068,3.3698,contested
181,9,1.193045,7.2,contested
182,9,1.110791,7.7332,contested
183,9,1.099238,7.8144,contested
184,9,1.118725,7.6783,contested
185,9,1.103009,7.7877,contested
186,9,2.096675,4.0969,contested
187,9,1.109015,7.7456,contested
188,9,1.09049,7.8771,contested
189,9,1.081886,7.9398,contested
190,9,1.125829,7.6299,contested
191,9,1.153875,7.4444,contested
192,9,1.116184,7.6958,contested
193,9,1.10429,7.7787,contested
194,9,1.097553,7.8264,contested
195,9,1.139937,7.5354,contested
196,9,1.095073,7.8442,contested
197,9,1.099096,7.8155,contested
198,9,1.116044,7.6968,contested
199,9,1.099678,7.8113,contested
