iter,window,comm_dur_s,bw_gbps,phase
0,0,1.389117,6.1837,solo_rampup
1,0,1.212961,7.0818,solo_rampup
2,0,1.183081,7.2606,solo_rampup
3,0,1.211104,7.0926,solo_rampup
4,0,1.202661,7.1424,solo_rampup
5,0,1.191908,7.2069,solo_rampup
6,0,1.216671,7.0602,solo_rampup
7,0,1.166305,7.3651,solo_rampup
8,0,1.217378,7.0561,solo_rampup
9,0,1.201262,7.1508,solo_rampup
10,0,1.199322,7.1623,solo_rampup
11,0,1.19979,7.1595,solo_rampup
12,0,1.142151,7.5208,solo_rampup
13,0,1.057971,8.1193,solo_rampup
14,0,1.193582,7.1968,solo_rampup
15,0,1.186221,7.2414,solo_rampup
16,0,1.194677,7.1902,solo_rampup
17,0,1.200497,7.1553,solo_rampup
18,0,1.201818,7.1474,solo_rampup
19,0,1.226475,7.0038,solo_rampup
20,1,1.388153,6.188,solo_rampup
21,1,2.134712,4.0239,solo_rampup
22,1,1.204549,7.1312,solo_rampup
23,1,2.818944,3.0472,solo_rampup
24,1,1.195624,7.1845,solo_rampup
25,1,2.80674,3.0605,solo_rampup
26,1,2.061931,4.166,solo_rampup
27,1,1.179404,7.2833,solo_rampup
28,1,1.273445,6.7454,solo_rampup
29,1,2.080191,4.1294,solo_rampup
30,1,2.013433,4.2663,solo_rampup
31,1,1.141092,7.5278,solo_rampup
32,1,1.209139,7.1042,solo_rampup
33,1,1.1897,7.2203,solo_rampup
34,1,2.362808,3.6355,solo_rampup
35,1,2.447935,3.5091,solo_rampup
36,1,2.427285,3.5389,solo_rampup
37,1,2.503206,3.4316,solo_rampup
38,1,2.492482,3.4463,solo_rampup
39,1,2.4252,3.5419,solo_rampup
40,2,2.469862,3.4779,solo_rampup
41,2,2.507529,3.4257,solo_rampup
42,2,2.491045,3.4483,solo_rampup
43,2,2.500786,3.4349,solo_rampup
44,2,2.439256,3.5215,solo_rampup
45,2,2.446239,3.5115,solo_rampup
46,2,2.469998,3.4777,solo_rampup
47,2,2.288279,3.7539,solo_rampup
48,2,1.715076,5.0085,solo_rampup
49,2,1.663642,5.1633,solo_rampup
50,2,1.695019,5.0678,solo_rampup
51,2,1.698651,5.0569,solo_rampup
52,2,1.682225,5.1063,solo_rampup
53,2,1.695848,5.0653,solo_rampup
54,2,1.694319,5.0698,solo_rampup
