iter,window,comm_dur_s,bw_gbps,phase
0,0,1.836186,4.6781,contested
1,0,1.78964,4.7998,contested
2,0,1.590747,5.3999,contested
3,0,1.680154,5.1126,contested
4,0,1.669134,5.1463,contested
5,0,1.702036,5.0469,contested
6,0,1.741756,4.9318,contested
7,0,1.771629,4.8486,contested
8,0,1.676844,5.1227,contested
9,0,1.707714,5.0301,contested
10,0,1.729099,4.9679,contested
11,0,1.698334,5.0579,contested
12,0,1.712819,5.0151,contested
13,0,1.706712,5.033,contested
14,0,1.685567,5.0962,contested
15,0,1.712277,5.0167,contested
16,0,1.72044,4.9929,contested
17,0,1.687002,5.0918,contested
18,0,1.698701,5.0568,contested
19,0,1.694951,5.068,contested
20,1,1.702933,5.0442,contested
21,1,1.708379,5.0281,contested
22,1,1.733308,4.9558,contested
23,1,1.703069,5.0438,contested
24,1,1.777366,4.833,contested
25,1,1.672901,5.1348,contested
26,1,1.712527,5.0159,contested
27,1,1.76321,4.8718,contested
28,1,1.682358,5.1059,contested
29,1,1.711794,5.0181,contested
30,1,1.685693,5.0958,contested
31,1,1.685812,5.0954,contested
32,1,1.708427,5.028,contested
33,1,1.780861,4.8235,contested
34,1,1.726031,4.9767,contested
35,1,1.724652,4.9807,contested
36,1,1.707055,5.032,contested
37,1,1.68657,5.0931,contested
38,1,1.741552,4.9323,contested
39,1,1.691191,5.0792,contested
40,2,1.690605,5.081,contested
41,2,1.742944,4.9284,contested
42,2,1.759343,4.8825,contested
43,2,1.691301,5.0789,contested
44,2,1.719796,4.9947,contested
45,2,1.688005,5.0888,contested
46,2,1.713553,5.0129,contested
47,2,1.638444,5.2427,contested
48,2,1.695132,5.0674,contested
49,2,1.698884,5.0562,contested
50,2,1.685566,5.0962,contested
51,2,1.699248,5.0551,contested
52,2,1.682223,5.1063,contested
53,2,1.767963,4.8587,contested
54,2,1.685807,5.0954,contested
55,2,1.729261,4.9674,contested
56,2,1.700287,5.0521,contested
57,2,1.703896,5.0413,contested
