Policy,total_iters,slo_attainment_ci1.5,slo_attainment_ci2.0,slo_attainment_ci3.0,slo_attainment_overall
Fair,223355.4000,0.0891,0.4116,1.0000,0.3469
SRPT,227220.6000,0.6266,0.8116,1.0000,0.7500
CRUX,228095.9000,0.2906,1.0000,1.0000,0.6453
LongLiu,228024.5000,0.6984,1.0000,1.0000,0.8492
