[JobB-LONGLIU-MAIN] Loaded T_target=3905.16ms from /tmp/ttarget_v5_jobB.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29521...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29521, priority=P3
[JobB-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobB-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=3.0
[JobB-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=1.2
[JobB-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=6.2 GB
[JobB-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobB-LONGLIU-MAIN] iter  57 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=408.2ms, bw=10.52 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  58 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=437.3ms, bw=9.82 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  59 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=422.9ms, bw=10.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  60 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=479.0ms, bw=8.97 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  61 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=450.6ms, bw=9.53 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  62 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=420.2ms, bw=10.22 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  63 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=437.0ms, bw=9.83 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  64 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=393.3ms, bw=10.92 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  65 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=456.9ms, bw=9.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  66 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=441.4ms, bw=9.73 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  67 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=407.5ms, bw=10.54 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  68 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=439.6ms, bw=9.77 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  69 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=432.6ms, bw=9.93 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  70 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=453.4ms, bw=9.47 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  71 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=427.3ms, bw=10.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  72 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=432.4ms, bw=9.93 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  73 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=448.3ms, bw=9.58 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  74 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=429.8ms, bw=9.99 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  75 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=444.4ms, bw=9.67 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  76 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=462.6ms, bw=9.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  77 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=232.8ms, bw=18.45 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  78 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=186.8ms, bw=22.99 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  79 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.1ms, bw=19.97 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  80 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=202.7ms, bw=21.19 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  81 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.0ms, bw=20.45 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  82 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.7ms, bw=19.64 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  83 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=236.2ms, bw=18.19 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  84 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=244.8ms, bw=17.55 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  85 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=225.4ms, bw=19.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  86 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=211.2ms, bw=20.34 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  87 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=220.7ms, bw=19.46 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  88 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=227.7ms, bw=18.86 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  89 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=220.5ms, bw=19.48 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  90 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.6ms, bw=20.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  91 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=223.4ms, bw=19.22 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  92 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=223.3ms, bw=19.23 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  93 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=220.2ms, bw=19.50 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  94 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=207.6ms, bw=20.69 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  95 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=223.2ms, bw=19.25 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  96 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.6ms, bw=20.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  97 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=220.0ms, bw=19.53 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  98 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=211.0ms, bw=20.36 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  99 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=236.6ms, bw=18.15 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 100 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=236.6ms, bw=18.15 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 101 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=245.5ms, bw=17.49 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 102 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=227.3ms, bw=18.89 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 103 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=230.1ms, bw=18.67 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 104 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.2ms, bw=20.43 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 105 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=204.0ms, bw=21.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 106 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.0ms, bw=19.97 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 107 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=216.3ms, bw=19.85 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 108 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=232.9ms, bw=18.44 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 109 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=214.7ms, bw=20.00 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 110 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.6ms, bw=19.92 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 111 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=219.1ms, bw=19.60 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 112 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=233.5ms, bw=18.39 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 113 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=201.9ms, bw=21.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 114 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=219.8ms, bw=19.54 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 115 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=224.8ms, bw=19.11 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 116 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=219.1ms, bw=19.60 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 117 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=219.3ms, bw=19.58 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 118 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.5ms, bw=19.93 Gbps [phase1]
