epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.358513,12.0823,-0.384039,3,16,0.612,3905.163
1,phase1,1024,3.0,30000,0.373992,11.5417,-0.370937,3,16,0.6385,3905.163
2,phase1,1024,3.0,30000,0.360947,11.9866,-0.373986,3,16,0.6162,3905.163
3,phase1,1024,3.0,30000,0.373447,11.5595,-0.370176,3,16,0.6375,3905.163
4,phase1,1024,3.0,30000,0.374919,11.502,-0.36739,3,16,0.64,3905.163
5,phase1,1024,3.0,30000,0.372048,11.5895,-0.366342,3,16,0.6351,3905.163
6,phase1,1024,3.0,30000,0.363755,11.8577,-0.367617,3,16,0.621,3905.163
7,phase2,1024,1.2,30000,0.359974,12.0117,0.57654,3,16,1.5363,3905.163
8,phase2,1024,1.2,30000,0.378395,11.3964,0.581846,3,16,1.6149,3905.163
9,phase2,1024,1.2,30000,0.367215,11.7338,0.581315,3,16,1.5672,3905.163
10,phase2,1024,1.2,30000,0.374496,11.5376,0.583712,3,16,1.5983,3905.163
11,phase2,1024,1.2,30000,0.364028,11.8519,0.581987,3,16,1.5536,3905.163
12,phase2,1024,1.2,30000,0.279461,16.9769,0.552468,3,16,1.1927,3905.163
13,phase2,1024,1.2,30000,0.196637,21.9354,0.501577,3,16,0.8392,3905.163
14,phase2,1024,1.2,30000,0.202288,21.3214,0.45907,3,16,0.8633,3905.163
